uniprot_id,gene,protein,description
A0AVT1,UBA6,UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6
A0FGR8,ESYT2,ESYT2_HUMAN,Extended synaptotagmin-2
A1L0T0,ILVBL,ILVBL_HUMAN,Acetolactate synthase-like protein
A2RTX5,TARS3,SYTC2_HUMAN,"Threonine--tRNA ligase 2, cytoplasmic"
A5D6W6,FITM1,FITM1_HUMAN,Fat storage-inducing transmembrane protein 1
A5D8V6,VPS37C,VP37C_HUMAN,Vacuolar protein sorting-associated protein 37C
A5YM72,CARNS1,CRNS1_HUMAN,Carnosine synthase 1
A6NCE7,MAP1LC3B2,MP3B2_HUMAN,Microtubule-associated proteins 1A/1B light chain 3 beta 2
A6NDG6,PGP,PGP_HUMAN,Glycerol-3-phosphate phosphatase
A6NHX0,CASTOR2,CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2
A6NNS2,DHRS7C,DRS7C_HUMAN,Dehydrogenase/reductase SDR family member 7C
A8MU46,SMTNL1,SMTL1_HUMAN,Smoothelin-like protein 1
A8MXV4,NUDT19,NUD19_HUMAN,Nucleoside diphosphate-linked moiety X motif 19
E9PAV3,NACA,NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"
L0R6Q1,SLC35A4,S35U4_HUMAN,SLC35A4 upstream open reading frame protein
O00151,PDLIM1,PDLI1_HUMAN,PDZ and LIM domain protein 1
O00159,MYO1C,MYO1C_HUMAN,Unconventional myosin-Ic
O00161,SNAP23,SNP23_HUMAN,Synaptosomal-associated protein 23
O00168,FXYD1,PLM_HUMAN,Phospholemman
O00186,STXBP3,STXB3_HUMAN,Syntaxin-binding protein 3
O00203,AP3B1,AP3B1_HUMAN,AP-3 complex subunit beta-1
O00217,NDUFS8,NDUS8_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"
O00231,PSMD11,PSD11_HUMAN,26S proteasome non-ATPase regulatory subunit 11
O00232,PSMD12,PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12
O00233,PSMD9,PSMD9_HUMAN,26S proteasome non-ATPase regulatory subunit 9
O00264,PGRMC1,PGRC1_HUMAN,Membrane-associated progesterone receptor component 1
O00299,CLIC1,CLIC1_HUMAN,Chloride intracellular channel protein 1
O00303,EIF3F,EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F
O00330,PDHX,ODPX_HUMAN,"Pyruvate dehydrogenase protein X component, mitochondrial"
O00410,IPO5,IPO5_HUMAN,Importin-5
O00418,EEF2K,EF2K_HUMAN,Eukaryotic elongation factor 2 kinase
O00423,EML1,EMAL1_HUMAN,Echinoderm microtubule-associated protein-like 1
O00429,DNM1L,DNM1L_HUMAN,Dynamin-1-like protein
O00442,RTCA,RTCA_HUMAN,RNA 3'-terminal phosphate cyclase
O00483,NDUFA4,NDUA4_HUMAN,Cytochrome c oxidase subunit NDUFA4
O00487,PSMD14,PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14
O00499,BIN1,BIN1_HUMAN,Myc box-dependent-interacting protein 1
O00505,KPNA3,IMA4_HUMAN,Importin subunit alpha-4
O00560,SDCBP,SDCB1_HUMAN,Syntenin-1
O00571,DDX3X,DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X
O00629,KPNA4,IMA3_HUMAN,Importin subunit alpha-3
O00748,CES2,EST2_HUMAN,Cocaine esterase
O00757,FBP2,F16P2_HUMAN,"Fructose-1,6-bisphosphatase isozyme 2"
O00763,ACACB,ACACB_HUMAN,Acetyl-CoA carboxylase 2
O00764,PDXK,PDXK_HUMAN,Pyridoxal kinase
O14498,ISLR,ISLR_HUMAN,Immunoglobulin superfamily containing leucine-rich repeat protein
O14521,SDHD,DHSD_HUMAN,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial"
O14558,HSPB6,HSPB6_HUMAN,Heat shock protein beta-6
O14561,NDUFAB1,ACPM_HUMAN,"Acyl carrier protein, mitochondrial"
O14562,UBFD1,UBFD1_HUMAN,Ubiquitin domain-containing protein UBFD1
O14579,COPE,COPE_HUMAN,Coatomer subunit epsilon
O14618,CCS,CCS_HUMAN,Copper chaperone for superoxide dismutase
O14653,GOSR2,GOSR2_HUMAN,Golgi SNAP receptor complex member 2
O14672,ADAM10,ADA10_HUMAN,Disintegrin and metalloproteinase domain-containing protein 10
O14732,IMPA2,IMPA2_HUMAN,Inositol monophosphatase 2
O14735,CDIPT,CDIPT_HUMAN,CDP-diacylglycerol--inositol 3-phosphatidyltransferase
O14737,PDCD5,PDCD5_HUMAN,Programmed cell death protein 5
O14744,PRMT5,ANM5_HUMAN,Protein arginine N-methyltransferase 5
O14773,TPP1,TPP1_HUMAN,Tripeptidyl-peptidase 1
O14786,NRP1,NRP1_HUMAN,Neuropilin-1
O14791,APOL1,APOL1_HUMAN,Apolipoprotein L1
O14818,PSMA7,PSA7_HUMAN,Proteasome subunit alpha type-7
O14828,SCAMP3,SCAM3_HUMAN,Secretory carrier-associated membrane protein 3
O14841,OPLAH,OPLA_HUMAN,5-oxoprolinase
O14874,BCKDK,BCKD_HUMAN,"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial"
O14880,MGST3,MGST3_HUMAN,Microsomal glutathione S-transferase 3
O14949,UQCRQ,QCR8_HUMAN,Cytochrome b-c1 complex subunit 8
O14950,MYL12B,ML12B_HUMAN,Myosin regulatory light chain 12B
O14957,UQCR11,QCR10_HUMAN,Cytochrome b-c1 complex subunit 10
O14958,CASQ2,CASQ2_HUMAN,Calsequestrin-2
O14964,HGS,HGS_HUMAN,Hepatocyte growth factor-regulated tyrosine kinase substrate
O14979,HNRNPDL,HNRDL_HUMAN,Heterogeneous nuclear ribonucleoprotein D-like
O14980,XPO1,XPO1_HUMAN,Exportin-1
O14983,ATP2A1,AT2A1_HUMAN,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1
O15061,SYNM,SYNEM_HUMAN,Synemin
O15067,PFAS,PUR4_HUMAN,Phosphoribosylformylglycinamidine synthase
O15075,DCLK1,DCLK1_HUMAN,Serine/threonine-protein kinase DCLK1
O15143,ARPC1B,ARC1B_HUMAN,Actin-related protein 2/3 complex subunit 1B
O15144,ARPC2,ARPC2_HUMAN,Actin-related protein 2/3 complex subunit 2
O15145,ARPC3,ARPC3_HUMAN,Actin-related protein 2/3 complex subunit 3
O15173,PGRMC2,PGRC2_HUMAN,Membrane-associated progesterone receptor component 2
O15212,PFDN6,PFD6_HUMAN,Prefoldin subunit 6
O15247,CLIC2,CLIC2_HUMAN,Chloride intracellular channel protein 2
O15260,SURF4,SURF4_HUMAN,Surfeit locus protein 4
O15273,TCAP,TELT_HUMAN,Telethonin
O15305,PMM2,PMM2_HUMAN,Phosphomannomutase 2
O15371,EIF3D,EIF3D_HUMAN,Eukaryotic translation initiation factor 3 subunit D
O15382,BCAT2,BCAT2_HUMAN,"Branched-chain-amino-acid aminotransferase, mitochondrial"
O15400,STX7,STX7_HUMAN,Syntaxin-7
O15427,SLC16A3,MOT4_HUMAN,Monocarboxylate transporter 4
O15498,YKT6,YKT6_HUMAN,Synaptobrevin homolog YKT6
O15511,ARPC5,ARPC5_HUMAN,Actin-related protein 2/3 complex subunit 5
O15533,TAPBP,TPSN_HUMAN,Tapasin
O43143,DHX15,DHX15_HUMAN,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15
O43169,CYB5B,CYB5B_HUMAN,Cytochrome b5 type B
O43175,PHGDH,SERA_HUMAN,D-3-phosphoglycerate dehydrogenase
O43181,NDUFS4,NDUS4_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial"
O43237,DYNC1LI2,DC1L2_HUMAN,Cytoplasmic dynein 1 light intermediate chain 2
O43242,PSMD3,PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3
O43301,HSPA12A,HS12A_HUMAN,Heat shock 70 kDa protein 12A
O43374,RASA4,RASL2_HUMAN,Ras GTPase-activating protein 4
O43390,HNRNPR,HNRPR_HUMAN,Heterogeneous nuclear ribonucleoprotein R
O43396,TXNL1,TXNL1_HUMAN,Thioredoxin-like protein 1
O43399,TPD52L2,TPD54_HUMAN,Tumor protein D54
O43414,ERI3,ERI3_HUMAN,ERI1 exoribonuclease 3
O43464,HTRA2,HTRA2_HUMAN,"Serine protease HTRA2, mitochondrial"
O43488,AKR7A2,ARK72_HUMAN,Aflatoxin B1 aldehyde reductase member 2
O43491,EPB41L2,E41L2_HUMAN,Band 4.1-like protein 2
O43504,LAMTOR5,LTOR5_HUMAN,Ragulator complex protein LAMTOR5
O43583,DENR,DENR_HUMAN,Density-regulated protein
O43598,DNPH1,DNPH1_HUMAN,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
O43615,TIMM44,TIM44_HUMAN,Mitochondrial import inner membrane translocase subunit TIM44
O43617,TRAPPC3,TPPC3_HUMAN,Trafficking protein particle complex subunit 3
O43633,CHMP2A,CHM2A_HUMAN,Charged multivesicular body protein 2a
O43674,NDUFB5,NDUB5_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial"
O43676,NDUFB3,NDUB3_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
O43678,NDUFA2,NDUA2_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2
O43684,BUB3,BUB3_HUMAN,Mitotic checkpoint protein BUB3
O43707,ACTN4,ACTN4_HUMAN,Alpha-actinin-4
O43708,GSTZ1,MAAI_HUMAN,Maleylacetoacetate isomerase
O43741,PRKAB2,AAKB2_HUMAN,5'-AMP-activated protein kinase subunit beta-2
O43747,AP1G1,AP1G1_HUMAN,AP-1 complex subunit gamma-1
O43760,SYNGR2,SNG2_HUMAN,Synaptogyrin-2
O43765,SGTA,SGTA_HUMAN,Small glutamine-rich tetratricopeptide repeat-containing protein alpha
O43768,ENSA,ENSA_HUMAN,Alpha-endosulfine
O43772,SLC25A20,MCAT_HUMAN,Mitochondrial carnitine/acylcarnitine carrier protein
O43776,NARS1,SYNC_HUMAN,"Asparagine--tRNA ligase, cytoplasmic"
O43813,LANCL1,LANC1_HUMAN,Glutathione S-transferase LANCL1
O43826,SLC37A4,G6PT1_HUMAN,Glucose-6-phosphate exchanger SLC37A4
O43837,IDH3B,IDH3B_HUMAN,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial"
O43847,NRDC,NRDC_HUMAN,Nardilysin
O43852,CALU,CALU_HUMAN,Calumenin
O43865,AHCYL1,SAHH2_HUMAN,S-adenosylhomocysteine hydrolase-like protein 1
O43920,NDUFS5,NDUS5_HUMAN,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5
O60220,TIMM8A,TIM8A_HUMAN,Mitochondrial import inner membrane translocase subunit Tim8 A
O60234,GMFG,GMFG_HUMAN,Glia maturation factor gamma
O60237,PPP1R12B,MYPT2_HUMAN,Protein phosphatase 1 regulatory subunit 12B
O60240,PLIN1,PLIN1_HUMAN,Perilipin-1
O60256,PRPSAP2,KPRB_HUMAN,Phosphoribosyl pyrophosphate synthase-associated protein 2
O60313,OPA1,OPA1_HUMAN,"Dynamin-like 120 kDa protein, mitochondrial"
O60318,MCM3AP,GANP_HUMAN,Germinal-center associated nuclear protein
O60343,TBC1D4,TBCD4_HUMAN,TBC1 domain family member 4
O60488,ACSL4,ACSL4_HUMAN,Long-chain-fatty-acid--CoA ligase 4
O60493,SNX3,SNX3_HUMAN,Sorting nexin-3
O60506,SYNCRIP,HNRPQ_HUMAN,Heterogeneous nuclear ribonucleoprotein Q
O60662,KLHL41,KLH41_HUMAN,Kelch-like protein 41
O60664,PLIN3,PLIN3_HUMAN,Perilipin-3
O60684,KPNA6,IMA7_HUMAN,Importin subunit alpha-7
O60701,UGDH,UGDH_HUMAN,UDP-glucose 6-dehydrogenase
O60749,SNX2,SNX2_HUMAN,Sorting nexin-2
O60763,USO1,USO1_HUMAN,General vesicular transport factor p115
O60784,TOM1,TOM1_HUMAN,Target of Myb protein 1
O60825,PFKFB2,F262_HUMAN,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"
O60826,CCDC22,CCD22_HUMAN,Coiled-coil domain-containing protein 22
O60841,EIF5B,IF2P_HUMAN,Eukaryotic translation initiation factor 5B
O60869,EDF1,EDF1_HUMAN,Endothelial differentiation-related factor 1
O60879,DIAPH2,DIAP2_HUMAN,Protein diaphanous homolog 2
O60884,DNAJA2,DNJA2_HUMAN,DnaJ homolog subfamily A member 2
O60888,CUTA,CUTA_HUMAN,Protein CutA
O60925,PFDN1,PFD1_HUMAN,Prefoldin subunit 1
O60936,NOL3,NOL3_HUMAN,Nucleolar protein 3
O75027,ABCB7,ABCB7_HUMAN,"ATP-binding cassette sub-family B member 7, mitochondrial"
O75083,WDR1,WDR1_HUMAN,WD repeat-containing protein 1
O75112,LDB3,LDB3_HUMAN,LIM domain-binding protein 3
O75122,CLASP2,CLAP2_HUMAN,CLIP-associating protein 2
O75128,COBL,COBL_HUMAN,Protein cordon-bleu
O75131,CPNE3,CPNE3_HUMAN,Copine-3
O75153,CLUH,CLU_HUMAN,Clustered mitochondria protein homolog
O75155,CAND2,CAND2_HUMAN,Cullin-associated NEDD8-dissociated protein 2
O75170,PPP6R2,PP6R2_HUMAN,Serine/threonine-protein phosphatase 6 regulatory subunit 2
O75190,DNAJB6,DNJB6_HUMAN,DnaJ homolog subfamily B member 6
O75208,COQ9,COQ9_HUMAN,"Ubiquinone biosynthesis protein COQ9, mitochondrial"
O75223,GGCT,GGCT_HUMAN,Gamma-glutamylcyclotransferase
O75251,NDUFS7,NDUS7_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial"
O75298,RTN2,RTN2_HUMAN,Reticulon-2
O75306,NDUFS2,NDUS2_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial"
O75323,NIPSNAP2,NIPS2_HUMAN,Protein NipSnap homolog 2
O75339,CILP,CILP1_HUMAN,Cartilage intermediate layer protein 1
O75340,PDCD6,PDCD6_HUMAN,Programmed cell death protein 6
O75347,TBCA,TBCA_HUMAN,Tubulin-specific chaperone A
O75348,ATP6V1G1,VATG1_HUMAN,V-type proton ATPase subunit G 1
O75351,VPS4B,VPS4B_HUMAN,Vacuolar protein sorting-associated protein 4B
O75368,SH3BGRL,SH3L1_HUMAN,SH3 domain-binding glutamic acid-rich-like protein
O75369,FLNB,FLNB_HUMAN,Filamin-B
O75380,NDUFS6,NDUS6_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial"
O75390,CS,CISY_HUMAN,"Citrate synthase, mitochondrial"
O75391,SPAG7,SPAG7_HUMAN,Sperm-associated antigen 7
O75396,SEC22B,SC22B_HUMAN,Vesicle-trafficking protein SEC22b
O75431,MTX2,MTX2_HUMAN,Metaxin-2
O75436,VPS26A,VP26A_HUMAN,Vacuolar protein sorting-associated protein 26A
O75438,NDUFB1,NDUB1_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1
O75439,PMPCB,MPPB_HUMAN,Mitochondrial-processing peptidase subunit beta
O75489,NDUFS3,NDUS3_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"
O75521,ECI2,ECI2_HUMAN,"Enoyl-CoA delta isomerase 2, mitochondrial"
O75531,BANF1,BAF_HUMAN,Barrier-to-autointegration factor
O75534,CSDE1,CSDE1_HUMAN,Cold shock domain-containing protein E1
O75569,PRKRA,PRKRA_HUMAN,Interferon-inducible double-stranded RNA-dependent protein kinase activator A
O75608,LYPLA1,LYPA1_HUMAN,Acyl-protein thioesterase 1
O75636,FCN3,FCN3_HUMAN,Ficolin-3
O75663,TIPRL,TIPRL_HUMAN,TIP41-like protein
O75688,PPM1B,PPM1B_HUMAN,Protein phosphatase 1B
O75746,SLC25A12,CMC1_HUMAN,Calcium-binding mitochondrial carrier protein Aralar1
O75764,TCEA3,TCEA3_HUMAN,Transcription elongation factor A protein 3
O75781,PALM,PALM_HUMAN,Paralemmin-1
O75821,EIF3G,EIF3G_HUMAN,Eukaryotic translation initiation factor 3 subunit G
O75822,EIF3J,EIF3J_HUMAN,Eukaryotic translation initiation factor 3 subunit J
O75828,CBR3,CBR3_HUMAN,Carbonyl reductase [NADPH] 3
O75832,PSMD10,PSD10_HUMAN,26S proteasome non-ATPase regulatory subunit 10
O75874,IDH1,IDHC_HUMAN,Isocitrate dehydrogenase [NADP] cytoplasmic
O75880,SCO1,SCO1_HUMAN,"Protein SCO1 homolog, mitochondrial"
O75882,ATRN,ATRN_HUMAN,Attractin
O75891,ALDH1L1,AL1L1_HUMAN,Cytosolic 10-formyltetrahydrofolate dehydrogenase
O75915,ARL6IP5,PRAF3_HUMAN,PRA1 family protein 3
O75923,DYSF,DYSF_HUMAN,Dysferlin
O75935,DCTN3,DCTN3_HUMAN,Dynactin subunit 3
O75937,DNAJC8,DNJC8_HUMAN,DnaJ homolog subfamily C member 8
O75947,ATP5PD,ATP5H_HUMAN,"ATP synthase subunit d, mitochondrial"
O75955,FLOT1,FLOT1_HUMAN,Flotillin-1
O75964,ATP5MG,ATP5L_HUMAN,"ATP synthase subunit g, mitochondrial"
O76003,GLRX3,GLRX3_HUMAN,Glutaredoxin-3
O76070,SNCG,SYUG_HUMAN,Gamma-synuclein
O94760,DDAH1,DDAH1_HUMAN,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
O94811,TPPP,TPPP_HUMAN,Tubulin polymerization-promoting protein
O94826,TOMM70,TOM70_HUMAN,Mitochondrial import receptor subunit TOM70
O94874,UFL1,UFL1_HUMAN,E3 UFM1-protein ligase 1
O94903,PLPBP,PLPHP_HUMAN,Pyridoxal phosphate homeostasis protein
O94905,ERLIN2,ERLN2_HUMAN,Erlin-2
O94911,ABCA8,ABCA8_HUMAN,ATP-binding cassette sub-family A member 8
O94919,ENDOD1,ENDD1_HUMAN,Endonuclease domain-containing 1 protein
O94925,GLS,GLSK_HUMAN,"Glutaminase kidney isoform, mitochondrial"
O94966,USP19,UBP19_HUMAN,Ubiquitin carboxyl-terminal hydrolase 19
O94973,AP2A2,AP2A2_HUMAN,AP-2 complex subunit alpha-2
O94979,SEC31A,SC31A_HUMAN,Protein transport protein Sec31A
O95139,NDUFB6,NDUB6_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
O95140,MFN2,MFN2_HUMAN,Mitofusin-2
O95167,NDUFA3,NDUA3_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3
O95168,NDUFB4,NDUB4_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
O95169,NDUFB8,NDUB8_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"
O95182,NDUFA7,NDUA7_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
O95183,VAMP5,VAMP5_HUMAN,Vesicle-associated membrane protein 5
O95197,RTN3,RTN3_HUMAN,Reticulon-3
O95202,LETM1,LETM1_HUMAN,Mitochondrial proton/calcium exchanger protein
O95210,STBD1,STBD1_HUMAN,Starch-binding domain-containing protein 1
O95260,ATE1,ATE1_HUMAN,Arginyl-tRNA--protein transferase 1
O95278,EPM2A,EPM2A_HUMAN,Laforin
O95292,VAPB,VAPB_HUMAN,Vesicle-associated membrane protein-associated protein B/C
O95298,NDUFC2,NDUC2_HUMAN,NADH dehydrogenase [ubiquinone] 1 subunit C2
O95299,NDUFA10,NDUAA_HUMAN,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"
O95302,FKBP9,FKBP9_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP9
O95336,PGLS,6PGL_HUMAN,6-phosphogluconolactonase
O95352,ATG7,ATG7_HUMAN,Ubiquitin-like modifier-activating enzyme ATG7
O95359,TACC2,TACC2_HUMAN,Transforming acidic coiled-coil-containing protein 2
O95372,LYPLA2,LYPA2_HUMAN,Acyl-protein thioesterase 2
O95373,IPO7,IPO7_HUMAN,Importin-7
O95376,ARIH2,ARI2_HUMAN,E3 ubiquitin-protein ligase ARIH2
O95394,PGM3,AGM1_HUMAN,Phosphoacetylglucosamine mutase
O95396,MOCS3,MOCS3_HUMAN,Adenylyltransferase and sulfurtransferase MOCS3
O95425,SVIL,SVIL_HUMAN,Supervillin
O95433,AHSA1,AHSA1_HUMAN,Activator of 90 kDa heat shock protein ATPase homolog 1
O95445,APOM,APOM_HUMAN,Apolipoprotein M
O95479,H6PD,G6PE_HUMAN,GDH/6PGL endoplasmic bifunctional protein
O95487,SEC24B,SC24B_HUMAN,Protein transport protein Sec24B
O95563,MPC2,MPC2_HUMAN,Mitochondrial pyruvate carrier 2
O95571,ETHE1,ETHE1_HUMAN,"Persulfide dioxygenase ETHE1, mitochondrial"
O95573,ACSL3,ACSL3_HUMAN,Long-chain-fatty-acid--CoA ligase 3
O95630,STAMBP,STABP_HUMAN,STAM-binding protein
O95671,ASMTL,ASML_HUMAN,Probable bifunctional dTTP/UTP pyrophosphatase/methyltransferase protein
O95747,OXSR1,OXSR1_HUMAN,Serine/threonine-protein kinase OSR1
O95749,GGPS1,GGPPS_HUMAN,Geranylgeranyl pyrophosphate synthase
O95777,LSM8,LSM8_HUMAN,U6 snRNA-associated Sm-like protein LSm8
O95782,AP2A1,AP2A1_HUMAN,AP-2 complex subunit alpha-1
O95810,CAVIN2,CAVN2_HUMAN,Caveolae-associated protein 2
O95817,BAG3,BAG3_HUMAN,BAG family molecular chaperone regulator 3
O95822,MLYCD,DCMC_HUMAN,"Malonyl-CoA decarboxylase, mitochondrial"
O95831,AIFM1,AIFM1_HUMAN,"Apoptosis-inducing factor 1, mitochondrial"
O95834,EML2,EMAL2_HUMAN,Echinoderm microtubule-associated protein-like 2
O95861,BPNT1,BPNT1_HUMAN,"3'(2'),5'-bisphosphate nucleotidase 1"
O95865,DDAH2,DDAH2_HUMAN,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 2"
O95870,ABHD16A,ABHGA_HUMAN,Phosphatidylserine lipase ABHD16A
O95881,TXNDC12,TXD12_HUMAN,Thioredoxin domain-containing protein 12
O95989,NUDT3,NUDT3_HUMAN,Diphosphoinositol polyphosphate phosphohydrolase 1
O96000,NDUFB10,NDUBA_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10
O96007,MOCS2,MOC2B_HUMAN,Molybdopterin synthase catalytic subunit
O96008,TOMM40,TOM40_HUMAN,Mitochondrial import receptor subunit TOM40 homolog
O96011,PEX11B,PX11B_HUMAN,Peroxisomal membrane protein 11B
O96033,MOCS2,MOC2A_HUMAN,Molybdopterin synthase sulfur carrier subunit
P00156,MT-CYB,CYB_HUMAN,Cytochrome b
P00167,CYB5A,CYB5_HUMAN,Cytochrome b5
P00325,ADH1B,ADH1B_HUMAN,All-trans-retinol dehydrogenase [NAD(+)] ADH1B
P00326,ADH1C,ADH1G_HUMAN,Alcohol dehydrogenase 1C
P00338,LDHA,LDHA_HUMAN,L-lactate dehydrogenase A chain
P00352,ALDH1A1,AL1A1_HUMAN,Retinal dehydrogenase 1
P00367,GLUD1,DHE3_HUMAN,"Glutamate dehydrogenase 1, mitochondrial"
P00387,CYB5R3,NB5R3_HUMAN,NADH-cytochrome b5 reductase 3
P00390,GSR,GSHR_HUMAN,"Glutathione reductase, mitochondrial"
P00395,MT-CO1,COX1_HUMAN,Cytochrome c oxidase subunit 1
P00403,MT-CO2,COX2_HUMAN,Cytochrome c oxidase subunit 2
P00441,SOD1,SODC_HUMAN,Superoxide dismutase [Cu-Zn]
P00450,CP,CERU_HUMAN,Ceruloplasmin
P00488,F13A1,F13A_HUMAN,Coagulation factor XIII A chain
P00491,PNP,PNPH_HUMAN,Purine nucleoside phosphorylase
P00492,HPRT1,HPRT_HUMAN,Hypoxanthine-guanine phosphoribosyltransferase
P00505,GOT2,AATM_HUMAN,"Aspartate aminotransferase, mitochondrial"
P00558,PGK1,PGK1_HUMAN,Phosphoglycerate kinase 1
P00568,AK1,KAD1_HUMAN,Adenylate kinase isoenzyme 1
P00739,HPR,HPTR_HUMAN,Haptoglobin-related protein
P00742,F10,FA10_HUMAN,Coagulation factor X
P00746,CFD,CFAD_HUMAN,Complement factor D
P00846,MT-ATP6,ATP6_HUMAN,ATP synthase subunit a
P00918,CA2,CAH2_HUMAN,Carbonic anhydrase 2
P00966,ASS1,ASSY_HUMAN,Argininosuccinate synthase
P01034,CST3,CYTC_HUMAN,Cystatin-C
P01040,CSTA,CYTA_HUMAN,Cystatin-A
P01112,HRAS,RASH_HUMAN,GTPase HRas
P01116,KRAS,RASK_HUMAN,GTPase KRas
P01344,IGF2,IGF2_HUMAN,Insulin-like growth factor II
P01591,JCHAIN,IGJ_HUMAN,Immunoglobulin J chain
P01889,HLA-B,HLAB_HUMAN,"HLA class I histocompatibility antigen, B alpha chain"
P01903,HLA-DRA,DRA_HUMAN,"HLA class II histocompatibility antigen, DR alpha chain"
P01911,HLA-DRB1,DRB_HUMAN,"HLA class II histocompatibility antigen, DRB1 beta chain"
P02144,MB,MYG_HUMAN,Myoglobin
P02452,COL1A1,CO1A1_HUMAN,Collagen alpha-1(I) chain
P02461,COL3A1,CO3A1_HUMAN,Collagen alpha-1(III) chain
P02462,COL4A1,CO4A1_HUMAN,Collagen alpha-1(IV) chain
P02511,CRYAB,CRYAB_HUMAN,Alpha-crystallin B chain
P02533,KRT14,K1C14_HUMAN,"Keratin, type I cytoskeletal 14"
P02545,LMNA,LMNA_HUMAN,Prelamin-A/C
P02585,TNNC2,TNNC2_HUMAN,"Troponin C, skeletal muscle"
P02649,APOE,APOE_HUMAN,Apolipoprotein E
P02745,C1QA,C1QA_HUMAN,Complement C1q subcomponent subunit A
P02750,LRG1,A2GL_HUMAN,Leucine-rich alpha-2-glycoprotein
P02751,FN1,FINC_HUMAN,Fibronectin
P02753,RBP4,RET4_HUMAN,Retinol-binding protein 4
P02766,TTR,TTHY_HUMAN,Transthyretin
P02775,PPBP,CXCL7_HUMAN,Platelet basic protein
P02786,TFRC,TFR1_HUMAN,Transferrin receptor protein 1
P02788,LTF,TRFL_HUMAN,Lactotransferrin
P02792,FTL,FRIL_HUMAN,Ferritin light chain
P02794,FTH1,FRIH_HUMAN,Ferritin heavy chain
P03886,MT-ND1,NU1M_HUMAN,NADH-ubiquinone oxidoreductase chain 1
P03891,MT-ND2,NU2M_HUMAN,NADH-ubiquinone oxidoreductase chain 2
P03897,MT-ND3,NU3M_HUMAN,NADH-ubiquinone oxidoreductase chain 3
P03905,MT-ND4,NU4M_HUMAN,NADH-ubiquinone oxidoreductase chain 4
P03915,MT-ND5,NU5M_HUMAN,NADH-ubiquinone oxidoreductase chain 5
P03928,MT-ATP8,ATP8_HUMAN,ATP synthase protein 8
P03950,ANG,ANGI_HUMAN,Angiogenin
P03952,KLKB1,KLKB1_HUMAN,Plasma kallikrein
P04040,CAT,CATA_HUMAN,Catalase
P04075,ALDOA,ALDOA_HUMAN,Fructose-bisphosphate aldolase A
P04080,CSTB,CYTB_HUMAN,Cystatin-B
P04083,ANXA1,ANXA1_HUMAN,Annexin A1
P04156,PRNP,PRIO_HUMAN,Major prion protein
P04179,SOD2,SODM_HUMAN,"Superoxide dismutase [Mn], mitochondrial"
P04216,THY1,THY1_HUMAN,Thy-1 membrane glycoprotein
P04233,CD74,HG2A_HUMAN,HLA class II histocompatibility antigen gamma chain
P04264,KRT1,K2C1_HUMAN,"Keratin, type II cytoskeletal 1"
P04271,S100B,S100B_HUMAN,Protein S100-B
